Id,Name,AccountId,StageName,Amount,CloseDate,LeadSource,OwnerId
sf_opp_001,CipherGuard Inc --Enterprise Security Suite,sf_acc_022,Negotiation,80000,2026-01-26,VP Eng -- Developer Security Cold,ae_1
sf_opp_002,Redrock Financial --Cloud Posture Starter,sf_acc_014,Negotiation,45000,2025-12-12,CISO -- Threat Detection ROI,ae_1
sf_opp_003,Summit Bank & Trust --DevSecOps Platform,sf_acc_008,Negotiation,35000,2026-02-20,IT Director -- Compliance Renewal,ae_1
sf_opp_004,Pinnacle Manufacturing Co --Threat Detection Module,sf_acc_011,Closed Won,70000,2025-11-04,CISO Outbound -- Q2 Pipeline Push,ae_5
sf_opp_005,BluePeak Systems --Compliance Automation,sf_acc_016,Negotiation,65000,2025-08-28,CISO Outbound -- Q2 Pipeline Push,ae_5
sf_opp_006,Kestrel Defense Systems --Endpoint Protection,sf_acc_010,Negotiation,145000,2026-03-01,IT Director -- Compliance Renewal,ae_6
sf_opp_007,Nexus SaaS Labs --Security Posture Assessment,sf_acc_005,Negotiation,120000,2025-11-12,CISO -- Threat Detection ROI,ae_6
sf_opp_008,Harbor Capital Group --Vulnerability Management,sf_acc_018,Closed Lost,105000,2025-12-02,CISO Outbound -- Q2 Pipeline Push,ae_6
sf_opp_009,Titan Cloud Corp --Zero Trust Rollout,sf_acc_025,Closed Won,145000,2025-10-26,CISO Outbound -- Q2 Pipeline Push,ae_6
sf_opp_010,Titan Cloud Corp --API Security Gateway,sf_acc_025,Negotiation,25000,2025-11-28,VP Marketing -- Pipeline Attribution,ae_3
sf_opp_011,WestPoint Healthcare --SIEM Integration,sf_acc_024,Closed Won,30000,2026-03-07,IT Director -- Compliance Renewal,ae_3
sf_opp_012,WestPoint Healthcare --Identity Governance,sf_acc_024,Closed Won,20000,2025-07-18,CISO Outbound -- Q2 Pipeline Push,ae_3
sf_opp_013,Nexus SaaS Labs --Incident Response Retainer,sf_acc_005,Negotiation,275000,2026-02-12,CISO Outbound -- Q2 Pipeline Push,ae_7
sf_opp_014,Fortress Security Corp --Pen Test Engagement,sf_acc_001,Negotiation,115000,2025-10-03,CISO Outbound -- Q2 Pipeline Push,ae_7
sf_opp_015,Summit Bank & Trust --Risk Dashboard,sf_acc_008,Closed Lost,195000,2025-06-25,CTO Sequence -- Post-Funding Outreach,ae_7
sf_opp_016,Cloudix Corp --Container Security,sf_acc_012,Closed Lost,120000,2026-01-26,CISO Outbound -- Q2 Pipeline Push,ae_7
sf_opp_017,Harbor Capital Group --Data Loss Prevention,sf_acc_018,Negotiation,490000,2026-03-27,Security Engineer -- Inbound Follow-Up,ae_9
sf_opp_018,Ironclad Defense --Cloud Workload Protection,sf_acc_017,Qualification,220000,2026-07-18,IT Director -- Patch Cycle Acceleration,ae_9
sf_opp_019,Stackify Inc --Security Awareness Training,sf_acc_009,Prospecting,485000,2026-08-30,Security Engineer -- Inbound Follow-Up,ae_9
sf_opp_020,Summit Bank & Trust --Managed Detection & Response,sf_acc_008,Proposal/Price Quote,360000,2026-05-19,CISO -- Threat Detection ROI,ae_9
sf_opp_021,IronShield Technologies --Enterprise Platform Expansion,sf_acc_002,Closed Lost,180000,2026-01-15,CISO Outbound -- Q2 Pipeline Push,ae_5
sf_opp_022,Cloudix Corp --SOC-as-a-Service,sf_acc_012,Closed Won,40000,2025-09-19,CISO Outbound -- Q2 Pipeline Push,ae_1
sf_opp_023,BluePeak Systems --Privileged Access Management,sf_acc_016,Closed Won,75000,2025-07-07,CISO Outbound -- Q2 Pipeline Push,ae_1
sf_opp_024,Quickscale Technologies --Network Segmentation,sf_acc_020,Closed Won,65000,2025-08-12,CISO Outbound -- Q2 Pipeline Push,ae_1
sf_opp_025,Meridian Financial Group --Enterprise Security Transformation,sf_acc_003,Closed Won,350000,2025-11-20,CISO Outbound -- Q2 Pipeline Push,ae_9
sf_opp_026,Apex Health Systems --Security Posture Assessment,sf_acc_004,Closed Won,95000,2025-09-15,Partner Referral,ae_6
sf_opp_027,Nexus SaaS Labs --Threat Detection Module,sf_acc_005,Closed Lost,110000,2025-10-20,Web,ae_6
sf_opp_028,Cloudix Corp --Threat Intelligence Feed,sf_acc_012,Closed Won,20000,2025-06-22,Web,ae_2
sf_opp_029,BluePeak Systems --Security Operations Center,sf_acc_016,Closed Won,50000,2025-08-09,Web,ae_2
sf_opp_030,Quickscale Technologies --Enterprise Security Suite,sf_acc_020,Closed Won,55000,2025-09-02,Web,ae_2
sf_opp_031,CipherGuard Inc --Cloud Posture Starter,sf_acc_022,Closed Won,40000,2025-10-28,Web,ae_2
sf_opp_032,Cloudix Corp --DevSecOps Platform,sf_acc_012,Closed Won,15000,2025-11-28,Web,ae_2
sf_opp_033,BluePeak Systems --Threat Detection Module,sf_acc_016,Closed Won,50000,2026-01-06,Event,ae_2
sf_opp_034,Quickscale Technologies --Compliance Automation,sf_acc_020,Closed Won,55000,2026-02-24,Partner Referral,ae_2
sf_opp_035,CipherGuard Inc --Endpoint Protection,sf_acc_022,Negotiation,50000,2026-04-01,Inbound,ae_2
sf_opp_036,Fortress Security Corp --Security Posture Assessment,sf_acc_001,Negotiation,270000,2025-10-17,CISO Outbound -- Q2 Pipeline Push,ae_7
sf_opp_037,Harbor Capital Group --Vulnerability Management,sf_acc_018,Negotiation,110000,2026-04-20,CISO Outbound -- Q2 Pipeline Push,ae_7
sf_opp_038,Steelman Industries --Zero Trust Rollout,sf_acc_021,Negotiation,180000,2025-11-02,CISO Outbound -- Q2 Pipeline Push,ae_7
sf_opp_039,Fortress Security Corp --API Security Gateway,sf_acc_001,Negotiation,275000,2026-08-16,CISO Outbound -- Q2 Pipeline Push,ae_7
sf_opp_040,Harbor Capital Group --SIEM Integration,sf_acc_018,Negotiation,260000,2026-04-28,CISO Outbound -- Q2 Pipeline Push,ae_7
sf_opp_041,Steelman Industries --Identity Governance,sf_acc_021,Negotiation,110000,2025-11-07,CISO Outbound -- Q2 Pipeline Push,ae_7
sf_opp_042,Fortress Security Corp --Incident Response Retainer,sf_acc_001,Closed Lost,220000,2025-10-10,CISO Outbound -- Q2 Pipeline Push,ae_7
sf_opp_043,Harbor Capital Group --Pen Test Engagement,sf_acc_018,Closed Won,255000,2025-09-20,CISO Outbound -- Q2 Pipeline Push,ae_7
sf_opp_044,Steelman Industries --Risk Dashboard,sf_acc_021,Negotiation,225000,2026-03-28,CISO Outbound -- Q2 Pipeline Push,ae_7
sf_opp_045,Fortress Security Corp --Container Security,sf_acc_001,Negotiation,190000,2026-04-08,CISO Outbound -- Q2 Pipeline Push,ae_7
sf_opp_046,Fortress Security Corp --Data Loss Prevention,sf_acc_001,Negotiation,180000,2026-06-15,Event,ae_8
sf_opp_047,Harbor Capital Group --Cloud Workload Protection,sf_acc_018,Negotiation,240000,2026-05-16,Web,ae_8
sf_opp_048,Steelman Industries --Security Awareness Training,sf_acc_021,Negotiation,190000,2025-12-31,Partner Referral,ae_8
sf_opp_049,Fortress Security Corp --Managed Detection & Response,sf_acc_001,Negotiation,275000,2026-08-21,Inbound,ae_8
sf_opp_050,Harbor Capital Group --SOC-as-a-Service,sf_acc_018,Negotiation,205000,2025-10-24,Event,ae_8
sf_opp_051,Steelman Industries --Privileged Access Management,sf_acc_021,Negotiation,290000,2026-07-05,Inbound,ae_8
sf_opp_052,Fortress Security Corp --Network Segmentation,sf_acc_001,Closed Won,235000,2025-11-08,Web,ae_8
sf_opp_053,Harbor Capital Group --Threat Intelligence Feed,sf_acc_018,Closed Lost,175000,2025-07-02,Partner Referral,ae_8
sf_opp_054,Steelman Industries --Security Operations Center,sf_acc_021,Negotiation,170000,2026-06-03,Inbound,ae_8
sf_opp_055,Fortress Security Corp --Enterprise Security Suite,sf_acc_001,Closed Won,170000,2025-10-18,Web,ae_8
sf_opp_056,Cloudix Corp --Cloud Posture Starter,sf_acc_012,Prospecting,60000,2026-05-15,Security Engineer -- Inbound Follow-Up,ae_1
sf_opp_057,BluePeak Systems --DevSecOps Platform,sf_acc_016,Proposal/Price Quote,25000,2026-04-17,IT Director -- Patch Cycle Acceleration,ae_1
sf_opp_058,Quickscale Technologies --Threat Detection Module,sf_acc_020,Closed Won,40000,2025-12-25,CTO Sequence -- Post-Funding Outreach,ae_1
sf_opp_059,CipherGuard Inc --Compliance Automation,sf_acc_022,Qualification,80000,2026-04-30,CISO -- Threat Detection ROI,ae_1
sf_opp_060,Cloudix Corp --Endpoint Protection,sf_acc_012,Qualification,65000,2026-05-09,VP Marketing -- Brand Risk Outbound,ae_1
sf_opp_061,BluePeak Systems --Security Posture Assessment,sf_acc_016,Closed Won,40000,2025-07-05,VP Eng -- Developer Security Cold,ae_1
sf_opp_062,Quickscale Technologies --Vulnerability Management,sf_acc_020,Prospecting,30000,2026-05-02,CFO -- Budget Freeze Outbound,ae_1
sf_opp_063,CipherGuard Inc --Zero Trust Rollout,sf_acc_022,Qualification,40000,2026-05-16,VP Marketing -- Pipeline Attribution,ae_1
sf_opp_064,Cloudix Corp --API Security Gateway,sf_acc_012,Proposal/Price Quote,60000,2026-04-15,IT Director -- Cloud Security Posture,ae_1
sf_opp_065,BluePeak Systems --SIEM Integration,sf_acc_016,Qualification,25000,2026-05-06,IT Director -- Patch Cycle Acceleration,ae_1
sf_opp_066,Quickscale Technologies --Identity Governance,sf_acc_020,Prospecting,80000,2026-05-06,CISO Outbound -- Q2 Pipeline Push,ae_1
sf_opp_067,CipherGuard Inc --Incident Response Retainer,sf_acc_022,Needs Analysis,70000,2026-04-18,Security Engineer -- Inbound Follow-Up,ae_1
sf_opp_068,Cloudix Corp --Pen Test Engagement,sf_acc_012,Proposal/Price Quote,75000,2026-04-10,CTO Sequence -- Post-Funding Outreach,ae_1
sf_opp_069,BluePeak Systems --Risk Dashboard,sf_acc_016,Qualification,50000,2026-05-04,Security Engineer -- Inbound Follow-Up,ae_1
sf_opp_070,Quickscale Technologies --Container Security,sf_acc_020,Closed Lost,80000,2025-06-29,IT Director -- Compliance Renewal,ae_1
sf_opp_071,CipherGuard Inc --Data Loss Prevention,sf_acc_022,Qualification,35000,2026-04-26,VP Eng -- Developer Security Cold,ae_1
sf_opp_072,Cloudix Corp --Cloud Workload Protection,sf_acc_012,Closed Lost,45000,2025-07-11,VP Marketing -- Pipeline Attribution,ae_3
sf_opp_073,BluePeak Systems --Security Awareness Training,sf_acc_016,Closed Lost,40000,2025-11-26,VP Marketing -- Brand Risk Outbound,ae_3
sf_opp_074,Quickscale Technologies --Managed Detection & Response,sf_acc_020,Needs Analysis,80000,2026-04-29,IT Director -- Compliance Renewal,ae_3
sf_opp_075,CipherGuard Inc --SOC-as-a-Service,sf_acc_022,Needs Analysis,35000,2026-04-15,IT Director -- Cloud Security Posture,ae_3
sf_opp_076,Cloudix Corp --Privileged Access Management,sf_acc_012,Needs Analysis,80000,2026-04-22,CISO -- Threat Detection ROI,ae_3
sf_opp_077,BluePeak Systems --Network Segmentation,sf_acc_016,Negotiation,50000,2026-04-01,IT Director -- Cloud Security Posture,ae_3
sf_opp_078,Quickscale Technologies --Threat Intelligence Feed,sf_acc_020,Proposal/Price Quote,75000,2026-04-20,IT Director -- Compliance Renewal,ae_3
