Id,Name,Industry,NumberOfEmployees,BillingCity
sf_acc_001,Fortress Security Corp,cybersecurity,2800,Washington DC
sf_acc_002,IronShield Technologies,cybersecurity,720,New York
sf_acc_003,Meridian Financial Group,financial services,3500,San Francisco
sf_acc_004,Apex Health Systems,healthcare,650,Minneapolis
sf_acc_005,Nexus SaaS Labs,SaaS,340,Seattle
sf_acc_006,Hartwell Industries,manufacturing,4200,Chicago
sf_acc_007,ClearPath Health,healthcare,280,Chicago
sf_acc_008,Summit Bank & Trust,financial services,850,Austin
sf_acc_009,Stackify Inc,SaaS,310,Minneapolis
sf_acc_010,Kestrel Defense Systems,cybersecurity,780,New York
sf_acc_011,Pinnacle Manufacturing Co,manufacturing,3200,Washington DC
sf_acc_012,Cloudix Corp,SaaS,85,Minneapolis
sf_acc_013,Vantage Security Group,cybersecurity,420,Portland
sf_acc_014,Redrock Financial,financial services,260,Dallas
sf_acc_015,Medcore Solutions,healthcare,580,New York
sf_acc_016,BluePeak Systems,SaaS,120,Los Angeles
sf_acc_017,Ironclad Defense,cybersecurity,350,Denver
sf_acc_018,Harbor Capital Group,financial services,2600,San Francisco
sf_acc_019,NovaMed Health,healthcare,290,San Francisco
sf_acc_020,Quickscale Technologies,SaaS,65,New York
sf_acc_021,Steelman Industries,manufacturing,4500,Chicago
sf_acc_022,CipherGuard Inc,cybersecurity,95,Chicago
sf_acc_023,Atlas Financial Services,financial services,690,Dallas
sf_acc_024,WestPoint Healthcare,healthcare,550,Los Angeles
sf_acc_025,Titan Cloud Corp,SaaS,480,San Francisco
sf_acc_026,Summit Technologies,financial services,174,Dallas
sf_acc_027,Pike Innovations,manufacturing,731,Chicago
sf_acc_028,Pinnacle Group,SaaS,924,Minneapolis
sf_acc_029,Onyx Security,SaaS,595,Washington DC
sf_acc_030,Beacon Industries,cybersecurity,515,Minneapolis
sf_acc_031,Vanguard Dynamics,healthcare,401,Dallas
sf_acc_032,Helix Health,SaaS,154,Denver
sf_acc_033,Opal Systems,SaaS,617,Chicago
sf_acc_034,Trident Ventures,cybersecurity,225,Atlanta
sf_acc_035,Nova Financial,SaaS,328,Los Angeles
sf_acc_036,Haven Networks,SaaS,305,Seattle
sf_acc_037,Aegis Enterprises,financial services,64,Phoenix
sf_acc_038,Trellis Logistics,healthcare,14049,Charlotte
sf_acc_039,Aether Intelligence,SaaS,154,San Francisco
sf_acc_040,Maverick Consulting,SaaS,196,Phoenix
sf_acc_041,Atlas Services,cybersecurity,98,Phoenix
sf_acc_042,Xenon Digital,financial services,498,Austin
sf_acc_043,Neon Partners,SaaS,448,Minneapolis
sf_acc_044,Bastion Analytics,cybersecurity,105,Denver
sf_acc_045,Cordova Software,financial services,348,Boston
sf_acc_046,Wren Labs,financial services,128,Seattle
sf_acc_047,Ascent Capital,manufacturing,173,Austin
sf_acc_048,Keystone Data,SaaS,372,Chicago
sf_acc_049,Quantum Solutions,cybersecurity,1589,Phoenix
sf_acc_050,Northstar Platforms,manufacturing,281,Boston
sf_acc_051,Ironbridge Automation,healthcare,2177,New York
sf_acc_052,Volta Corp,SaaS,850,New York
sf_acc_053,Terra Engineering,manufacturing,1186,Denver
sf_acc_054,Riviera Works,healthcare,2436,New York
sf_acc_055,Yield Cloud,cybersecurity,65,Boston
sf_acc_056,Vector Technologies,financial services,228,Charlotte
sf_acc_057,Cascade Innovations,SaaS,331,Boston
sf_acc_058,Evergreen Group,manufacturing,118,Los Angeles
sf_acc_059,Stratos Security,healthcare,344,Seattle
sf_acc_060,Paladin Industries,financial services,475,Phoenix
sf_acc_061,Obsidian Dynamics,manufacturing,829,San Francisco
sf_acc_062,Elevate Health,financial services,495,Minneapolis
sf_acc_063,Radian Systems,SaaS,241,Atlanta
sf_acc_064,Optima Ventures,cybersecurity,232,Dallas
sf_acc_065,Solace Financial,cybersecurity,480,New York
sf_acc_066,Clearwater Networks,cybersecurity,84,Portland
sf_acc_067,Lumen Enterprises,SaaS,192,Denver
sf_acc_068,Halcyon Logistics,manufacturing,911,New York
sf_acc_069,Fortis Intelligence,cybersecurity,167,Dallas
